query,positive,negative
Torch7: A Matlab-like Environment for Machine Learning,"['Theano-MPI: a Theano-based Distributed Training Framework', 'Theano: new features and speed improvements', ""The Alzheimer's Disease Neuroimaging Initiative (ADNI): MRI methods."", 'SDPT3 — a Matlab software package for semidefinite-quadratic-linear programming, version 3.0', '8 IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE']","['Deep Learning of Graphs with Ngram Convolutional Neural Networks', 'Optimum take-off angle in the long jump.', 'Vehicular Networking: A Survey and Tutorial on Requirements, Architectures, Challenges, Standards and Solutions', 'Chatbots Meet eHealth: Automatizing Healthcare', 'Taxing unhealthy food and drinks to improve health.', 'Recognizing and Segmenting Objects in the Presence of Occlusion and Clutter', 'Application of Bitcoin Data-Structures & Design Principles to Supply Chain Management', 'Autocomplete hand-drawn animations', 'A high-efficiency runtime reconfigurable IP for CNN acceleration on a mid-range all-programmable SoC', 'A complete system for vehicle plate localization, segmentation and recognition in real life scene.', 'Zero Knowledge Proofs : A Survey', 'Charagram: Embedding Words and Sentences via Character n-grams', 'Removal of total ammonia nitrogen ( TAN ) , nitrate and total organic carbon ( TOC ) from aquaculture wastewater using electrochemical technology : A review', 'On the widespread and critical impact of systematic bias and batch effects in single-cell RNA-Seq data', 'Usability evaluation of ontology editors', 'Biographies, Bollywood, Boom-boxes and Blenders: Domain Adaptation for Sentiment Classification', 'Statistical Analysis of a Telephone Call Center : A Queueing-Science Perspective', 'Let your preference be your guide? Preferences and choices are more tightly linked for North Americans than for Indians.', 'Dependency Tree-based Sentiment Classification using CRFs with Hidden Variables', 'Dynamic spectrum access in cognitive radio networks with RF energy harvesting', 'Algorithm evolution for face recognition: what makes a picture difficult', 'The automated will: nonconscious activation and pursuit of behavioral goals.', 'Design of omnidirectional mobile robots with ACROBAT wheel mechanisms', 'Economic integration in China : Politics and culture', 'RobustFill: Neural Program Learning under Noisy I/O']"
Declarative Terrain Modeling for Military Training Games,"['Realtime Procedural Terrain Generation', 'Duplicating road patterns in south african informal settlements using procedural techniques', 'Procedural City Modeling', 'Procedural Landscapes with Overhangs', 'Towards multiobjective procedural map generation']","['Grouping dominant orientations for ill-structured road following', 'Argo: Architecture-aware graph partitioning', 'Graph-based Point-of-interest Recommendation with Geographical and Temporal Influences', 'Study of On-Line Adaptive Discriminant Analysis for EEG-Based Brain Computer Interfaces', 'Heart rate variability reflects self-regulatory strength, effort, and fatigue.', 'Deep Continuous Fusion for Multi-sensor 3D Object Detection', 'Towards smart city: M2M communications with software agent intelligence', 'Internet of Things: Survey and open issues of MQTT protocol', 'A Virtualized Separation Kernel for Mixed-Criticality Systems', 'Outer-loop vectorization - revisited for short SIMD architectures', 'Fuzzy logic in control systems: fuzzy logic controller. I', 'FingerFlux: near-surface haptic feedback on tabletops', 'SEMILAR: The Semantic Similarity Toolkit', 'What Makes APIs Hard to Learn? Answers from Developers', 'The PageRank Citation Ranking: Bringing Order to the Web.', 'Model Predictive Control—A Simple and Powerful Method to Control Power Converters', 'A vehicle for research: using street sweepers to explore the landscape of environmental community action', 'Predicting the Risk of Heart Attacks usingNeural Network and Decision Tree', 'Natural methods for robot task learning: instructive demonstrations, generalization and practice', 'Optimal Path Planning in Complex Cost Spaces With Sampling-Based Algorithms', 'AVATAR: A Variable-Retention-Time (VRT) Aware Refresh for DRAM Systems', 'Symmetry-breaking Convergence Analysis of Certain Two-layered Neural Networks with Relu Nonlinearity', 'Extending the JADE Agent Behaviour Model with JBehaviourTrees Framework', 'Motion Control of Wheeled Mobile Robots', 'Wasserstein Generative Adversarial Networks']"
PERFECTOID SPACES: A SURVEY,"['THE LANGLANDS-KOTTWITZ APPROACH FOR SOME SIMPLE SHIMURA VARIETIES', 'THE LOCAL LANGLANDS CORRESPONDENCE FOR GLn OVER p-ADIC FIELDS', 'Perspectives on mock modular forms', 'PERFECTOID SPACES', 'Perfectoid Spaces and their Applications']","['Contrastive-center loss for deep neural networks', 'Automatic Liver Lesion Segmentation Using A Deep Convolutional Neural Network Method', 'Watset: Automatic Induction of Synsets from a Graph of Synonyms', 'Real Time Radio Frequency Exposure for Bio-Physical Data Acquisition', 'Performance Benchmarking and Optimizing Hyperledger Fabric Blockchain Platform', 'Nanotechnology and its Applications in Medicine', 'Comprehending pronouns: a role for word-specific gender stereotype information.', 'Classification using Machine Learning Techniques', 'Playing Go without Game Tree Search Using Convolutional Neural Networks', 'Executing SPARQL Queries over the Web of Linked Data', 'Augmented Reality as a New Media Experience', 'Societal, Economic, Ethical and Legal Challenges of the Digital Revolution: From Big Data to Deep Learning, Artificial Intelligence, and Manipulative Technologies', 'Parallel Clustering Algorithms : Survey', 'Transforming to a Quality Culture: The Henry Ford Production System', 'Finger Vein Recognition Using Local Line Binary Pattern', 'Hedonic and instrumental motives in anger regulation.', 'Credit scoring with a data mining approach based on support vector machines', 'Customer Brand Engagement on Online Social Media Platforms : A Conceptual Model and Empirical Analysis', 'To Graft or Not to Graft? Evidence-Based Guide to Decision Making in Oral Bone Graft Surgery', 'Planning for Autonomous Cars that Leverage Effects on Human Actions', 'Coordinated Multi-Agent Imitation Learning', 'A current and future state of art development of hybrid energy system using wind and PV-solar : A review', 'Additive Manufacturing : A Framework for Implementation']"
The Turtles Project: Design and Implementation of Nested Virtualization,"['Secure Offloading of Legacy IDSes Using Remote VM Introspection in Semi-trusted Clouds', 'RetroVisor : Nested Virtualization for Multi IaaS VM Availability', 'A feather-weight virtual machine for windows applications', 'Improving Agility and Elasticity in Bare-metal Clouds', 'Design and Implementation of SecPod, A Framework for Virtualization-Based Security Systems']","['A Novel Design of Rotor Contour for Variable Reluctance Resolver by Injecting Auxiliary Air-Gap Permeance Harmonics', 'Clustering on the Unit Hypersphere using von Mises-Fisher Distributions', 'Chopper Stabilization of Analog Multipliers, Variable Gain Amplifiers, and Mixers', 'The activation of attentional networks', 'Complex network approach for recurrence analysis of time series', 'CONSUMPTION AND PERCEPTIONS OF SOCIAL REALITY Effects and underlying processes', 'High-resolution, real-time 3D absolute coordinate measurement based on a phase-shifting method.', 'Low-latency list decoding of polar codes with double thresholding', 'An upper-body rehabilitation exoskeleton Harmony with an anatomical shoulder mechanism: Design, modeling, control, and performance evaluation', 'Into the Mind of the Seller: Using Neurophysiological Tools to Understand Sales Techniques', 'Gender and Competition', 'Recovering Shading from Color Images', 'Blind Navigation Support System based on Microsoft Kinect', 'A Humanoid Robot Companion for Wheelchair Users', 'A versatile wavelet domain noise filtration technique for medical imaging', 'Kronecker Compressive Sensing', 'Distributed Multi-Robot Localization', 'Data and Information Quality Research: Its Evolution and Future', 'Single-image super-resolution of brain MR images using overcomplete dictionaries', 'The challenges of building mobile underwater wireless networks for aquatic applications', 'Introduction to Statistical Relational Learning (Adaptive Computation and Machine Learning)', 'Relative Impedance Control for Dual-Arm Robots Performing Asymmetric Bimanual Tasks', 'PicToSeek: combining color and shape invariant features for image retrieval', 'A Taxonomy of Data Quality Challenges in Empirical Software Engineering', 'Spacing Effects in Real-World Classroom Vocabulary Learning']"
Verification based ECG biometrics with cardiac irregular conditions using heartbeat level and segment level information fusion,"['Within-class covariance normalization for SVM-based speaker recognition', 'ECG Biometric Recognition: A Comparative Analysis', 'ECG to identify individuals', 'ECG analysis: a new approach in human identification', 'Analysis of Human Electrocardiogram for Biometric Recognition']","['Active Antennas : The Next Step in Radio and Antenna Evolution', 'Parameterized Models for Facial Animation', 'Personal Safety is More Important Than Cost of Damage During Robot Failure', 'Augmented Reality through Wearable Computing', 'Safety in shipping: the human element.', 'Fast and Accurate Crop and Weed Identification with Summarized Train Sets for Precision Agriculture', 'Generalised spatial modulation with multiple active transmit antennas', 'Current Methods in the Automatic Tissue Segmentation of 3D Magnetic Resonance Brain Images', 'Intrusion Detection in the RPL-connected 6LoWPAN Networks', 'Development of an Airborne Ground Penetrating Radar System: Antenna Design, Laboratory Experiment, and Numerical Simulation', 'Osmotic Heat Engine Using Thermally Responsive Ionic Liquids.', 'Ranging RFID Tags With Ultrasound', 'A New Approach for Image Steganography Using Edge Detection Method for Hiding Text in Color Images Using HSI Color Model', 'Computational Creativity', 'Fusing Similarity Models with Markov Chains for Sparse Sequential Recommendation', 'perspectives on Bitcoin and second-generation cryptocurrencies', 'Shrinkable, stiffness-controllable soft manipulator based on a bio-inspired antagonistic actuation principle', 'Study of Viola-Jones Real Time Face Detector', 'Dermoscopic findings in Laugier-Hunziker syndrome.', 'Design Considerations and Performance Evaluation of Single-Stage TAIPEI Rectifier for HVDC Distribution Applications', 'Discriminant validity of well-being measures.', 'Accelerometer based wireless air mouse using Arduino micro-controller board', 'Robust Speaker-Adaptive HMM-Based Text-to-Speech Synthesis', 'Design of fully printable chipless RFID tag on flexible substrate for secure banknote applications', 'Visual-Interactive Preprocessing of Time Series Data']"
Face recognition with learning-based descriptor,"['Biometrics and Face Recognition Techniques', 'Morphable Displacement Field Based Image Matching for Face Recognition across Pose', 'An efficient approach for clustering face images', 'RGB-H-CbCr skin colour model for human face detection', 'Some Faces are More Equal than Others: Hierarchical Organization for Accurate and Efficient Large-Scale Identity-Based Face Retrieval']","['Recent Advances in Augmented Reality', 'An intelligent discussion-bot for answering student queries in threaded discussions', 'Autonomous tracking of vehicle rear lights and detection of brakes and turn signals', 'Programmable Reverse Engineering', 'Are all literature citations equally important? Automatic citation strength estimation and its applications', 'Learning to detect malicious executables in the wild', 'The Nature of Self-Improving Artificial Intelligence', 'Total ADS: Automated Software Anomaly Detection System', 'Modeling of Wide Bandgap Power Semiconductor Devices—Part I', 'Personalized time-aware tweets summarization', 'Drugs interaction checker based on IoT', 'Image denoising via adaptive soft-thresholding based on non-local samples', 'SWEET: Serving the Web by Exploiting Email Tunnels', 'Local Spectral Graph Convolution for Point Set Feature Learning', 'Citations and annotations in classics: old problems and new perspectives', 'What We Know About Leadership', 'A Numerical PDE Approach For Pricing Callable Bonds Y . d', 'Voxel-based fabrication through material property mapping: A design method for bitmap printing', ""Effects of Prosocial, Neutral, and Violent Video Games on Children's Helpful and Hurtful Behaviors."", 'Low-Resource Named Entity Recognition with Cross-lingual, Character-Level Neural Conditional Random Fields', 'Multiphase System for Metal Disc Induction Heating: Modeling and RMS Current Control', 'Predicting daily activities from egocentric images using deep learning', 'Time series cluster kernel for learning similarities between multivariate time series with missing data', '3D object manipulation in a single photograph using stock 3D models', 'Virtual reality and information technology for archaeological site promotion']"
Embedding security in Software Development Life Cycle (SDLC),"['A Study on Software Risk Management Strategies and Mapping with SDLC', 'SDLC Models-A Survey Sukhdev Singh Ghuman', 'Software Security Checklist for the Software Life Cycle', 'Integrating AI Techniques In SDLC: Design Phase Perspective', 'A Survey on Requirements and Design Methods for Secure Software Development']","['Book recommendation using Neo4j graph database in BibTeX book metadata', 'Control of a visual keyboard using an electrocorticographic brain-computer interface.', 'Cryptographically Enforced Control Flow Integrity', 'Isolated thickened greater auricular nerve due to leprosy', 'POSTER: Cyber Attack Prediction of Threats from Unconventional Resources (CAPTURE)', 'Adapting hidden Markov models for ASL recognition by using three-dimensional computer vision methods', 'Chapter 2 SHORTEST PATH PROBLEMS WITH RESOURCE CONSTRAINTS', 'Conflicts and complements between eastern cultures and agile methods: an empirical investigation', 'EEG artifact elimination by extraction of ICA-component features using image processing algorithms', 'Coverage-directed differential testing of JVM implementations', 'Data Correction for Gantry-tilted Local CT', 'The Application of Intrusion Detection Systems in a Forensic Environment ( Extended', 'Search-based software test data generation: a survey', 'Genetic Evidence That Carbohydrate-Stimulated Insulin Secretion Leads to Obesity.', 'Implementing Smart Factory of Industrie 4.0: An Outlook', 'Nonsubsampled shearlet based CT and MR medical image fusion using biologically inspired spiking neural network', 'Evolutionof indirect reciprocity by imagescoring', 'Ontologies, Disorders and Prototypes', 'Cybercrime: Vandalizing the Information Society', 'Software Defined Networks in Wireless Sensor Architectures', 'MMSE reception and successive interference cancellation for MIMO systems with high spectral efficiency', 'Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews', 'Deadlock Avoidance Controller Design for Timed Petri Nets Using Stretching', 'A new contactless fault diagnosis approach for pantograph-catenary system', 'Local radius index - a new texture similarity feature']"
Dcell: a scalable and fault-tolerant network structure for data centers,"['PUSH: A Pipelined Reconstruction I/Of or Erasure-Coded Storage Clusters', 'Boosting Degraded Reads in Heterogeneous Erasure-Coded Storage Systems', 'An Availability-Aware Virtual Machine Placement Approach for Dynamic Scaling of Cloud Applications', 'Flexible Access Management System for Campus VLAN Based on OpenFlow', 'Flat-tree: A Convertible Data Center Network Architecture from Clos to Random Graph']","['An automatic tool for the analysis of natural language requirements', 'Semantic Sensor Web', 'Fast ADMM Algorithm for Distributed Optimization with Adaptive Penalty', 'Trust Management for the Semantic Web', 'Simple Realizations of Current-Mode and Voltage-Mode PID, PI and PD Controllers', 'Using Non-Local Features to Improve Named Entity Recognition Recall', ""Machine Learning Approaches for the Neuroimaging Study of Alzheimer's Disease"", 'A 0.3–1.4 GHz All-Digital Fractional-N PLL With Adaptive Loop Gain Controller', 'Weighted lasso in graphical Gaussian modeling for large gene network estimation based on microarray data.', 'Object Detection Using Strongly-Supervised Deformable Part Models', 'Thermal Management in High-Density Power Converters', 'Motion-focusing key frame extraction and video summarization for lane surveillance system', 'Real-time raindrop detection based on cellular neural networks for ADAS', 'Reinforcement-Learning-Based Intelligent Maximum Power Point Tracking Control for Wind Energy Conversion Systems', 'SPECTRE: A Fast and Scalable Cryptocurrency Protocol', 'From gulf to bridge: when do moral arguments facilitate political influence?', 'Overview of sciDB: large scale array storage, processing and analysis', 'From the Internet of Things to the Internet of People', 'Continuous Probability Distribution Prediction of Image Emotions via Multitask Shared Sparse Regression', 'Role of hope in academic and sport achievement.', 'A flat car-roof antenna module for phone and GPS applications', 'Modelling Provenance for GDPR Compliance using Linked Open Data Vocabularies', 'The CHEMDNER corpus of chemicals and drugs and its annotation principles', 'The Cloud Adoption Toolkit: Addressing the Challenges of Cloud Adoption in Enterprise', 'A deep scattering spectrum — Deep Siamese network pipeline for unsupervised acoustic modeling']"
Schema and ontology matching with COMA++,"['CODE4: a unified system for managing conceptual knowledge', 'Semantic Granularity in Ontology-Driven Geographic Information Systems', 'A visual tool for ontology alignment to enable geospatial interoperability', 'S-Match: An open source framework for matching lightweight ontologies', 'Language Understanding in the Wild: Combining Crowdsourcing and Machine Learning']","['Implementing a Wall-In Building Placement in StarCraft with Declarative Programming', 'Online Shopping Hesitation', ""Magnetic resonance imaging biomarkers for the early diagnosis of Alzheimer's disease: a machine learning approach"", 'An Energy Efficiency Feature Survey of the Intel Haswell Processor', 'Noise-contrastive estimation: A new estimation principle for unnormalized statistical models', 'Self-interference cancellation with nonlinear distortion suppression for full-duplex systems', 'Music recommendation via heterogeneous information graph embedding', 'Automatic Variational Inference in Stan', 'Business-to-Business E-Commerce Frameworks', 'Schema Extraction and Structural Outlier Detection for JSON-based NoSQL Data Stores', 'Context-Aware Sensors', 'On the Foundations of Relaxation Labeling Processes', ""Dissecting BitTorrent: Five Months in a Torrent's Lifetime"", 'Design considerations for a 5G network architecture', 'Underwater optical communication performance for laser beam propagation through weak oceanic turbulence.', 'GUESS: a language and interface for graph exploration', 'Moment inequalities for sums of random matrices and their applications in optimization', 'Systematic Retrieval of Scientific Literature based on Citation Relations: Introducing the CitNetExplorer Tool', 'Microscopy cell counting and detection with fully convolutional regression networks', 'Online Kernel Slow Feature Analysis for Temporal Video Segmentation and Tracking', 'Mortality and morbidity patterns in under-five children with severe acute malnutrition (SAM) in Zambia: a five-year retrospective review of hospital-based records (2009–2013)', 'Trajectory Tracking Control for a 3-DOF Planar Parallel Manipulator Using the Convex Synchronized Control Method', 'Maximum entropy models for natural language ambiguity resolution', 'Anatomical Landmark Detection in Medical Applications Driven by Synthetic Data', 'Microfluidics meets MEMS']"
Developmental Changes in the Relationship Between Grammar and the Lexicon,"['A computational study of cross-situational techniques for learning word-to-meaning mappings', 'ON THE EMERGENCE OF GR 4 AMMAR FROM THE LEXICON', 'Statistical learning by 8-month-old infants.', 'Word Segmentation : The Role of Distributional Cues', 'Rapid word learning under uncertainty via cross-situational statistics.']","['Text Clustering for Topic Detection', 'Technical evaluation of the Carolo-Cup 2014 - A competition for self-driving miniature cars', 'A study of large-scale ethnicity estimation with gender and age variations', 'Engineering for Predictive Modeling using Reinforcement Learning', 'An Improved DC-Link Voltage Fast Control Scheme for a PWM Rectifier-Inverter System', 'Harvesting Multiple Views for Marker-Less 3D Human Pose Annotations', 'Structural Health Monitoring Framework Based on Internet of Things: A Survey', 'Robot-assisted movement training compared with conventional therapy techniques for the rehabilitation of upper-limb motor function after stroke.', 'Latent Variable Dialogue Models and their Diversity', 'Direct Desktop Printed-Circuits-on-Paper Flexible Electronics', 'Ethical and Social Aspects of Self-Driving Cars', 'Never-Ending Multiword Expressions Learning', 'Comparative Study on Load Balancing Techniques in Cloud Computing', 'Comparative Analysis of Intelligent Transportation Systems for Sustainable Environment in Smart Cities', 'Use of opposition method in the test of high-power electronic converters', 'Distributed Representations for Compositional Semantics', 'Stargazer: Automated regression-based GPU design space exploration', 'JM: An R Package for the Joint Modelling of Longitudinal and Time-to-Event Data', 'Mollifying Networks', 'On Different Facets of Regularization Theory', 'Bio-Inspired Robotics Based on Liquid Crystalline Elastomers ( LCEs ) and Flexible Stimulators', 'Power Transformer Economic Evaluation in Decentralized Electricity Markets', 'A Brief survey of Data Mining Techniques Applied to Agricultural Data', 'Application of spiking neural networks and the bees algorithm to control chart pattern recognition', 'Substrate Integrated Waveguide Cavity-Backed Self-Triplexing Slot Antenna']"
